student_id,cohort,assessment,question,co,max_marks,marks_obtained
S016,Section B,External,Q3,CO3,15,10
S001,Section A,External,Q4,CO4,15,8
S002,Section A,External,Q4,CO4,15,7
S003,Section A,External,Q4,CO4,15,9
S004,Section A,External,Q4,CO4,15,8
S005,Section A,External,Q4,CO4,15,6
S006,Section A,External,Q4,CO4,15,8
S007,Section A,External,Q4,CO4,15,7
S008,Section A,External,Q4,CO4,15,6
S009,Section B,External,Q4,CO4,15,5
S010,Section B,External,Q4,CO4,15,8
S011,Section B,External,Q4,CO4,15,9
S012,Section B,External,Q4,CO4,15,6
S013,Section B,External,Q4,CO4,15,7
S014,Section B,External,Q4,CO4,15,8
S015,Section B,External,Q4,CO4,15,5
S016,Section B,External,Q4,CO4,15,7
